0:0:0:0:0:0:0:1 - - [08/Jun/2018:00:38:19 -0500] "GET /SAO/ HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [08/Jun/2018:00:38:19 -0500] "GET /SAO/home/login.jsp HTTP/1.1" 200 5717
0:0:0:0:0:0:0:1 - - [08/Jun/2018:00:38:19 -0500] "GET /SAO/home/img/images/close.png HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [08/Jun/2018:00:38:19 -0500] "GET /SAO/home/img/images/loading.gif HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [08/Jun/2018:00:38:19 -0500] "GET /SAO/home/img/images/prev.png HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [08/Jun/2018:00:38:19 -0500] "GET /SAO/home/img/images/next.png HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [08/Jun/2018:00:38:25 -0500] "POST /SAO/home/login.jsp HTTP/1.1" 200 5770
0:0:0:0:0:0:0:1 - - [08/Jun/2018:00:38:25 -0500] "GET /SAO/home/img/images/close.png HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [08/Jun/2018:00:38:25 -0500] "GET /SAO/home/img/images/loading.gif HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [08/Jun/2018:00:38:25 -0500] "GET /SAO/home/img/images/prev.png HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [08/Jun/2018:00:38:25 -0500] "GET /SAO/home/img/images/next.png HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [08/Jun/2018:00:38:25 -0500] "GET /SAO/home/main.jsp HTTP/1.1" 200 21637
0:0:0:0:0:0:0:1 - - [08/Jun/2018:00:38:26 -0500] "GET /SAO/ProfilePhotoServlet HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [08/Jun/2018:00:38:28 -0500] "GET /SAO/home/adm_entity_list.jsp?ec=28 HTTP/1.1" 200 26363
0:0:0:0:0:0:0:1 - - [08/Jun/2018:00:38:28 -0500] "GET /SAO/ProfilePhotoServlet HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [08/Jun/2018:00:38:29 -0500] "GET /SAO/home/flex_report_params.jsp?id_report=11 HTTP/1.1" 200 44015
0:0:0:0:0:0:0:1 - - [08/Jun/2018:00:38:29 -0500] "GET /SAO/ProfilePhotoServlet HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [08/Jun/2018:00:38:29 -0500] "GET /SAO/ProfilePhotoServlet HTTP/1.1" 200 14
