what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401811947247
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401811953181
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401812372798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401812373965
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401812375385
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401812378066
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401812379395
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.help.aboutAction",1401812379401
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1401812382665
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1401812382694
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1401812382788
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1401812382840
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1401812382869
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1401812382921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401812383277
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401812395313
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.install",1401812395324
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401812397285
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401812398240
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401812399417
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401815057123
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401815058047
