what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401978469028
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401978470180
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401978472323
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401978475010
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401978478286
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1401978479723
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1401978483910
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401978489243
error,log,,,"Several ports (8005, 8080, 8009) required by Tomcat v7.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1401978491538
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401978603885
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401978603897
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401978642266
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401978642374
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401978643822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401978661326
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1401978662000
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1401978666298
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1401978669862
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1401978672313
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1401978685098
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401978692170
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401979670574
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.stop",1401979673678
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401979675875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401979676015
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1401979676027
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401979680463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401979681881
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401979682673
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401981226116
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401981227238
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401981243159
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401981244234
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401981284700
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401981286178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401981294160
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401981301685
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401987285755
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401987290822
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401987294992
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401987563322
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1401987564624
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401987567517
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401987570785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401987675413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401987676001
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401987676028
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401987676176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401987678034
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401987679678
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402008639632
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402008640203
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402008650634
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1402008651306
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1402008654423
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1402008656638
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1402008661424
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1402008675253
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402008677355
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402009419907
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1402009422979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402009426537
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402009435972
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1402009437403
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402009439895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402019740702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402019771952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402019782506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402019783813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402083454004
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1402083461449
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402083465295
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402083467233
started,bundle,org.eclipse.wst.jsdt.debug.core,2.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.core",1402083471212
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402083483153
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1402083500473
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1402083500473
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1402083500473
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1402083500587
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1402083500635
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1402083500668
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1402083500719
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1402083500780
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1402083500865
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1402083500985
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1402083501447
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1402083501488
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.402.v201201250306,"org.eclipse.jst.ws.consumption.ui",1402083501488
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.603.v201202012024,"org.eclipse.jst.ws.consumption",1402083501488
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.core",1402083501531
stopped,bundle,org.eclipse.jst.ws.cxf.creation.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.core",1402083501736
stopped,bundle,org.eclipse.jst.ws.cxf.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.cxf.ui",1402083501795
stopped,bundle,org.eclipse.jst.ws.cxf.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.core",1402083501834
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.500.v201004211805,"org.eclipse.jst.ws.uddiregistry",1402083501834
stopped,bundle,org.eclipse.jst.ws.ui,1.0.403.v201004211805,"org.eclipse.jst.ws.ui",1402083501834
stopped,bundle,org.eclipse.jst.ws,1.0.509.v201108250610,"org.eclipse.jst.ws",1402083501834
stopped,bundle,org.eclipse.wst.ws.explorer,1.0.607.v201103082002,"org.eclipse.wst.ws.explorer",1402083501848
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.403.v201108240515,"org.eclipse.wst.wsdl.ui",1402083501848
stopped,bundle,org.eclipse.wst.ws.ui,1.1.200.v201004211805,"org.eclipse.wst.ws.ui",1402083501848
stopped,bundle,org.eclipse.wst.wsi.ui,1.0.502.v201104071820,"org.eclipse.wst.wsi.ui",1402083501919
stopped,bundle,org.eclipse.wst.wsi,1.0.401.v201104071820,"org.eclipse.wst.wsi",1402083501919
stopped,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1402083501920
stopped,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1402083501947
stopped,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1402083501957
stopped,bundle,org.eclipse.wst.ws.parser,1.0.403.v201004211805,"org.eclipse.wst.ws.parser",1402083501957
