what,kind,bundleId,bundleVersion,description,time
closed,view,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.ResultView",1401809788522
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1401809789962
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401809795464
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1401809798394
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1401809804189
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401809820502
error,log,,,"Unhandled event loop exception",1401809831330
error,log,,,"Unhandled event loop exception",1401809836687
error,log,,,"Unhandled event loop exception",1401809839884
error,log,,,"Unhandled event loop exception",1401809842647
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401809948442
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401809948576
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401809955585
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401809955585
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401809956932
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810026417
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810045910
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810052126
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810065780
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810069682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810076739
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810078292
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810150358
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810157466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810294594
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1401810316639
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401810325422
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1401810359864
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.stop",1401810361058
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1401810362653
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1401810363387
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810367930
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810368998
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810369026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810369365
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1401810369369
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810372083
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810373134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810373162
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810373414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1401810373418
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810375386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810376456
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810376987
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810379174
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401810381941
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810389354
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810412643
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810417076
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810420883
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1401810420906
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810426049
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810436832
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401810437509
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401810437769
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401810441078
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401810441724
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401810443490
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401810443490
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401810446812
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401810449556
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401810449679
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1401810451531
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401810452557
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1401810454896
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1401810459444
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401810460888
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401810460888
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401810461627
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401810461628
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401810462570
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401810462570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810472156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810481261
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810490102
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1401810522905
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1401810522913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810522983
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401810530081
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810533728
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810538200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810538272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810540953
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1401810540964
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1401810560334
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1401810560385
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1401810565863
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1401810565864
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810585317
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810585428
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810585439
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810591503
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1401810602521
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1401810602521
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1401810602706
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1401810602707
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810603437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810628075
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401810629578
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1401810629578
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810659612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810680489
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1401810680513
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810684285
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1401810692548
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810704263
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1401810704291
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810712737
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810779524
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810781575
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810787166
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810799290
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810821227
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401810821861
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401810822028
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401810826803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810830889
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810833353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810837053
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810843040
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401810846536
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401810846707
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401810850560
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401810850561
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810851542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810852195
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401810853849
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401810854674
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401810854813
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401810856433
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401810856434
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401810858284
error,log,,,"Unhandled event loop exception",1401810859664
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810867047
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401810873196
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401810880548
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401810880679
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401810890520
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401810890520
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401810894428
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401810894724
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401810894867
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401810900244
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401810900245
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401810916184
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401811001773
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401811034720
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401811044602
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1401811049813
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1401811058025
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401811065165
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401811072639
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1401811073908
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1401811074114
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1401811074590
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401811091192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401811107281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401811108759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401811110917
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1401811112736
