what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401806077853
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401806081414
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401806095093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1401806095118
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401806105793
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1401806115776
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401806149490
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1401806149503
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1401806149960
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401806156441
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401806159677
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401806180717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401806260432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401806261361
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401806261778
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401806263363
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401806267618
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1401806283374
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1401806284220
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401806289195
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401806290177
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401806304310
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401806312366
started,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1401806326073
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401806409011
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1401806409031
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1401806411321
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401806411532
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1401806411533
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401806414826
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401806414826
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401806483538
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401806483648
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401806489359
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401806489359
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401806490800
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401806490936
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1401806500224
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1401806503062
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401806508635
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401806516540
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401806516661
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1401806518544
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1401806518922
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401806519842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401806521108
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1401806521202
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1401806521321
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401806545491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401806548199
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401806560092
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401806561853
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401806577035
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401806579624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401806595720
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401806597229
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401806599478
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401806607638
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401806607952
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401806608094
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401806619175
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401806621070
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401806623218
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401806626493
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401806628915
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401806629656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401806746489
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401806755231
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1401806814490
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1401806814550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401806814655
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1401806814741
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401806821893
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401806824640
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401806824769
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401806833977
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401806845333
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401806851550
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401806862889
