what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1402602070602
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1402602076293
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1402602078920
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402602079311
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402602086550
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1402602087863
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1402602091270
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402602091663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402602117787
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1402602122262
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1402602125010
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402602128848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402602128934
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1402602132872
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.stop",1402602133934
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1402602134607
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1402602135278
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1402602137047
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1402602137047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402602137345
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402604207542
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1402604209018
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1402604211112
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1402604238462
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1402604240835
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1402604242136
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1402604243394
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1402604246473
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1402604247457
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1402604262990
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402604263481
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402604316023
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402604316898
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402604317943
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1402604319395
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1402604320379
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402604320890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402604323560
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1402604323571
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1402604337359
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402604862468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402604934246
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402604935822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402605777070
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402605780054
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402606368763
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1402606371066
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1402606373720
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402606376310
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402606691004
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402606713382
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402606765562
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1402606794467
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1402606795734
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1402606795971
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1402606807567
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1402606811942
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1402606814329
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1402606820516
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1402606824629
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1402606836840
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1402606848135
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1402606852844
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1402606853515
