127.0.0.1 - - [14/Sep/2018:14:32:03 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [14/Sep/2018:14:32:03 -0500] "GET /PrototypeGob/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2018:14:32:04 -0500] "GET /PrototypeGob/login.xhtml HTTP/1.1" 500 4141
0:0:0:0:0:0:0:1 - - [14/Sep/2018:14:32:04 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [14/Sep/2018:14:32:32 -0500] "GET /PrototypeGob/login.xhtml HTTP/1.1" 200 5164
0:0:0:0:0:0:0:1 - - [14/Sep/2018:14:32:32 -0500] "GET /PrototypeGob/javax.faces.resource/theme.css.xhtml?ln=primefaces-afterwork HTTP/1.1" 200 19164
0:0:0:0:0:0:0:1 - - [14/Sep/2018:14:32:32 -0500] "GET /PrototypeGob/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.1 HTTP/1.1" 200 108195
0:0:0:0:0:0:0:1 - - [14/Sep/2018:14:32:32 -0500] "GET /PrototypeGob/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.1 HTTP/1.1" 200 236815
0:0:0:0:0:0:0:1 - - [14/Sep/2018:14:32:32 -0500] "GET /PrototypeGob/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.1 HTTP/1.1" 200 313177
0:0:0:0:0:0:0:1 - - [14/Sep/2018:14:32:32 -0500] "GET /PrototypeGob/js/jquery.min.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [14/Sep/2018:14:32:32 -0500] "GET /PrototypeGob/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.1 HTTP/1.1" 200 58799
0:0:0:0:0:0:0:1 - - [14/Sep/2018:14:32:32 -0500] "GET /PrototypeGob/css/bootstrap.css HTTP/1.1" 200 178152
0:0:0:0:0:0:0:1 - - [14/Sep/2018:14:32:32 -0500] "GET /PrototypeGob/js/bootstrap.js HTTP/1.1" 200 115048
0:0:0:0:0:0:0:1 - - [14/Sep/2018:14:32:32 -0500] "GET /PrototypeGob/css/bootstrap-theme.css HTTP/1.1" 200 26132
0:0:0:0:0:0:0:1 - - [14/Sep/2018:14:32:32 -0500] "GET /PrototypeGob/images/coordinacion_285x118.png HTTP/1.1" 200 40746
0:0:0:0:0:0:0:1 - - [14/Sep/2018:14:32:32 -0500] "GET /PrototypeGob/images/logoSCT_hoz3.png HTTP/1.1" 200 114177
0:0:0:0:0:0:0:1 - - [14/Sep/2018:14:32:32 -0500] "GET /PrototypeGob/js/jquery.min.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [14/Sep/2018:14:32:32 -0500] "GET /PrototypeGob/images/candado_gris_64.png?pfdrid_c=true HTTP/1.1" 200 2930
0:0:0:0:0:0:0:1 - - [14/Sep/2018:14:32:33 -0500] "GET /PrototypeGob/images/ajax-loader.gif HTTP/1.1" 200 2608
0:0:0:0:0:0:0:1 - - [14/Sep/2018:14:35:09 -0500] "GET /PrototypeGob/login.xhtml HTTP/1.1" 200 5024
0:0:0:0:0:0:0:1 - - [14/Sep/2018:14:35:09 -0500] "GET /PrototypeGob/js/jquery.min.js HTTP/1.1" 404 1019
