127.0.0.1 - - [30/Apr/2018:17:26:01 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:26:02 -0500] "GET /joappWeb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:26:03 -0500] "GET /joappWeb/login.xhtml HTTP/1.1" 200 8267
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:26:03 -0500] "GET /joappWeb/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:26:03 -0500] "GET /joappWeb/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:26:03 -0500] "GET /joappWeb/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:26:03 -0500] "GET /joappWeb/css/custom.css HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:26:03 -0500] "GET /joappWeb/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:26:03 -0500] "GET /joappWeb/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 24984
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:26:03 -0500] "GET /joappWeb/css/general.css HTTP/1.1" 200 3018
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:26:03 -0500] "GET /joappWeb/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 85416
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:26:03 -0500] "GET /joappWeb/css/bootstrap.css HTTP/1.1" 200 152841
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:26:03 -0500] "GET /joappWeb/js/jquery.min.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:26:03 -0500] "GET /joappWeb/js/fontawesome/fontawesome-all.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:26:03 -0500] "GET /joappWeb/css/loginCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:26:03 -0500] "GET /joappWeb/css/custom.css HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:26:03 -0500] "GET /joappWeb/js/jquery.min.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:26:04 -0500] "GET /joappWeb/images/headset_icono.png HTTP/1.1" 200 4770
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "POST /joappWeb/login.xhtml HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/index.xhtml HTTP/1.1" 200 16345
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/assets/icon/icofont/css/icofont.css HTTP/1.1" 200 108688
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/assets/icon/themify-icons/themify-icons.css HTTP/1.1" 200 16435
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/bower_components/css/bootstrap.min.css HTTP/1.1" 200 124962
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/assets/pages/dashboard/css/style.css HTTP/1.1" 200 10127
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/assets/pages/menu-search/css/component.css HTTP/1.1" 200 7363
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/assets/pages/flag-icon/flag-icon.min.css HTTP/1.1" 200 38265
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/bower_components/css/chartist.css HTTP/1.1" 200 14435
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/bower_components/css/c3.css HTTP/1.1" 200 2995
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/assets/css/jquery.mCustomScrollbar.css HTTP/1.1" 200 54021
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/bower_components/jquery-slimscroll/js/jquery.slimscroll.js HTTP/1.1" 200 13832
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/bower_components/modernizr/js/css-scrollbars.js HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/assets/pages/todo/todo.js HTTP/1.1" 200 4858
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/assets/pages/dashboard/horizontal-timeline/js/main.js HTTP/1.1" 200 12120
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/bower_components/modernizr/js/modernizr.js HTTP/1.1" 200 51351
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/bower_components/jquery/js/jquery.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/assets/pages/widget/amchart/pie.js HTTP/1.1" 200 14670
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/assets/pages/widget/amchart/amcharts.js HTTP/1.1" 200 209436
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/bower_components/jquery-ui/js/jquery-ui.min.js HTTP/1.1" 200 253669
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/bower_components/peity/js/jquery.peity.js HTTP/1.1" 200 8891
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/bower_components/popper.js/js/popper.min.js HTTP/1.1" 200 19208
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/assets/pages/widget/amchart/serial.js HTTP/1.1" 200 49474
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/bower_components/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51143
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/assets/pages/widget/amchart/light.js HTTP/1.1" 200 2916
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/assets/pages/widget/amchart/gauge.js HTTP/1.1" 200 12853
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/bower_components/d3/js/d3.min.js HTTP/1.1" 200 151725
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/bower_components/c3/js/c3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/bower_components/i18next/js/i18next.min.js HTTP/1.1" 200 35879
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/bower_components/chartist/js/chartist.js HTTP/1.1" 200 178221
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/bower_components/chart.js/js/Chart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/bower_components/jquery-i18next/js/jquery-i18next.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/bower_components/i18next-xhr-backend/js/i18nextXHRBackend.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/bower_components/i18next-browser-languagedetector/js/i18nextBrowserLanguageDetector.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/assets/pages/chart/chartlist/js/chartist-plugin-threshold.js HTTP/1.1" 200 4329
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/assets/pages/chart/chartlist/js/chartist-plugin-tooltip.min.js HTTP/1.1" 200 6963
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/assets/pages/dashboard/project-dashboard.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/assets/js/jquery.mCustomScrollbar.concat.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/assets/js/demo-12.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/assets/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/assets/js/SmoothScroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:38 -0500] "GET /joappWeb/assets/js/pcoded.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:39 -0500] "GET /joappWeb/javax.faces.resource/jsf.js.xhtml?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:39 -0500] "GET /joappWeb/assets/images/avatar-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:39 -0500] "GET /joappWeb/assets/icon/themify-icons/fonts/themify.woff?-fvbane HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:39 -0500] "GET /joappWeb/assets/images/pattern4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:50 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 2557
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:50 -0500] "GET /joappWeb/javax.faces.resource/jsf.js.xhtml?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:50 -0500] "GET /joappWeb/javax.faces.resource/images/ui-icons_898989_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:50 -0500] "GET /joappWeb/javax.faces.resource/images/ui-bg_flat_0_2d5972_40x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:50 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:54 -0500] "GET /joappWeb/administracion/miPerfilPlus.xhtml HTTP/1.1" 200 22252
0:0:0:0:0:0:0:1 - - [30/Apr/2018:17:28:54 -0500] "GET /joappWeb/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 304 -
