10.1.18.136 - - [18/Jul/2018:12:00:39 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:35:28 -0500] "GET /ecuador-2.0.0/javax.faces.resource/images/avatar-brooke.png.xhtml;jsessionid=C46ECEAD74DC48BE046A255DC390DC1F?ln=ecuador-layout HTTP/1.1" 200 30000
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:35:28 -0500] "GET /ecuador-2.0.0/javax.faces.resource/images/avatar-tom.png.xhtml;jsessionid=C46ECEAD74DC48BE046A255DC390DC1F?ln=ecuador-layout HTTP/1.1" 200 30697
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:35:28 -0500] "GET /ecuador-2.0.0/javax.faces.resource/images/avatar-maggie.png.xhtml;jsessionid=C46ECEAD74DC48BE046A255DC390DC1F?ln=ecuador-layout HTTP/1.1" 200 27937
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:35:28 -0500] "GET /ecuador-2.0.0/ HTTP/1.1" 200 105547
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:35:28 -0500] "GET /ecuador-2.0.0/javax.faces.resource/css/layout-indigo.css.xhtml;jsessionid=C46ECEAD74DC48BE046A255DC390DC1F?ln=ecuador-layout HTTP/1.1" 200 80824
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:35:28 -0500] "GET /ecuador-2.0.0/javax.faces.resource/images/avatar-lucas.png.xhtml;jsessionid=C46ECEAD74DC48BE046A255DC390DC1F?ln=ecuador-layout HTTP/1.1" 200 27823
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:35:28 -0500] "GET /ecuador-2.0.0/javax.faces.resource/images/icon-sales.png.xhtml;jsessionid=C46ECEAD74DC48BE046A255DC390DC1F?ln=ecuador-layout HTTP/1.1" 200 1624
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:35:28 -0500] "GET /ecuador-2.0.0/javax.faces.resource/images/icon-views.png.xhtml;jsessionid=C46ECEAD74DC48BE046A255DC390DC1F?ln=ecuador-layout HTTP/1.1" 200 1958
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:35:28 -0500] "GET /ecuador-2.0.0/javax.faces.resource/images/icon-users.png.xhtml;jsessionid=C46ECEAD74DC48BE046A255DC390DC1F?ln=ecuador-layout HTTP/1.1" 200 879
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:35:28 -0500] "GET /ecuador-2.0.0/javax.faces.resource/images/icon-checkin.png.xhtml;jsessionid=C46ECEAD74DC48BE046A255DC390DC1F?ln=ecuador-layout HTTP/1.1" 200 2100
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:35:28 -0500] "GET /ecuador-2.0.0/javax.faces.resource/images/flag-usa.png.xhtml;jsessionid=C46ECEAD74DC48BE046A255DC390DC1F?ln=ecuador-layout HTTP/1.1" 200 3711
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:35:28 -0500] "GET /ecuador-2.0.0/javax.faces.resource/images/flag-brasil.png.xhtml;jsessionid=C46ECEAD74DC48BE046A255DC390DC1F?ln=ecuador-layout HTTP/1.1" 200 4522
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:35:28 -0500] "GET /ecuador-2.0.0/javax.faces.resource/images/flag-india.png.xhtml;jsessionid=C46ECEAD74DC48BE046A255DC390DC1F?ln=ecuador-layout HTTP/1.1" 200 2697
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:35:28 -0500] "GET /ecuador-2.0.0/javax.faces.resource/images/flag-germany.png.xhtml;jsessionid=C46ECEAD74DC48BE046A255DC390DC1F?ln=ecuador-layout HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:35:28 -0500] "GET /ecuador-2.0.0/javax.faces.resource/images/flag-spain.png.xhtml;jsessionid=C46ECEAD74DC48BE046A255DC390DC1F?ln=ecuador-layout HTTP/1.1" 200 3686
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:35:28 -0500] "GET /ecuador-2.0.0/javax.faces.resource/images/flag-france.png.xhtml;jsessionid=C46ECEAD74DC48BE046A255DC390DC1F?ln=ecuador-layout HTTP/1.1" 200 1938
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:35:28 -0500] "GET /ecuador-2.0.0/javax.faces.resource/images/faces-morpheus.png.xhtml;jsessionid=C46ECEAD74DC48BE046A255DC390DC1F?ln=ecuador-layout HTTP/1.1" 200 34328
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:35:28 -0500] "GET /ecuador-2.0.0/javax.faces.resource/images/avatar-jeniffer.png.xhtml;jsessionid=C46ECEAD74DC48BE046A255DC390DC1F?ln=ecuador-layout HTTP/1.1" 200 102206
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:35:29 -0500] "GET /ecuador-2.0.0/javax.faces.resource/images/faces-ultima.png.xhtml;jsessionid=C46ECEAD74DC48BE046A255DC390DC1F?ln=ecuador-layout HTTP/1.1" 200 33927
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:35:29 -0500] "GET /ecuador-2.0.0/javax.faces.resource/images/ecuador-orange-logo.png.xhtml;jsessionid=C46ECEAD74DC48BE046A255DC390DC1F?ln=ecuador-layout HTTP/1.1" 200 8490
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:35:29 -0500] "GET /ecuador-2.0.0/javax.faces.resource/images/faces-poseidon.png.xhtml;jsessionid=C46ECEAD74DC48BE046A255DC390DC1F?ln=ecuador-layout HTTP/1.1" 200 34103
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:35:29 -0500] "POST /ecuador-2.0.0/dashboard.xhtml;jsessionid=C46ECEAD74DC48BE046A255DC390DC1F HTTP/1.1" 200 989
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:35:29 -0500] "GET /favicon.ico HTTP/1.1" 404 983
127.0.0.1 - - [18/Jul/2018:12:49:40 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:49:41 -0500] "GET /joappWeb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:49:41 -0500] "GET /joappWeb/login.xhtml HTTP/1.1" 200 8380
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:49:41 -0500] "GET /joappWeb/css/custom.css HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:49:41 -0500] "GET /joappWeb/js/jquery.min.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:49:42 -0500] "GET /joappWeb/css/custom.css HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:49:42 -0500] "GET /joappWeb/js/jquery.min.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:51:47 -0500] "POST /joappWeb/login.xhtml HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:51:48 -0500] "GET /joappWeb/index.xhtml HTTP/1.1" 200 62703
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:52:03 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 4326
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:52:03 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 24694
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:52:27 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 9020
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:53:48 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 11440
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:53:49 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:53:50 -0500] "GET /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 69494
0:0:0:0:0:0:0:1 - - [18/Jul/2018:12:54:38 -0500] "POST /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 412277
0:0:0:0:0:0:0:1 - - [18/Jul/2018:13:37:31 -0500] "GET /joappWeb/index.xhtml HTTP/1.1" 200 57524
0:0:0:0:0:0:0:1 - - [18/Jul/2018:13:51:37 -0500] "GET /joappWeb/index.xhtml HTTP/1.1" 200 57524
0:0:0:0:0:0:0:1 - - [18/Jul/2018:13:52:20 -0500] "GET /joappWeb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jul/2018:13:52:20 -0500] "GET /joappWeb/login.xhtml HTTP/1.1" 200 8380
0:0:0:0:0:0:0:1 - - [18/Jul/2018:13:52:21 -0500] "GET /joappWeb/css/custom.css HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [18/Jul/2018:13:52:21 -0500] "GET /joappWeb/js/jquery.min.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [18/Jul/2018:13:52:21 -0500] "GET /joappWeb/css/custom.css HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [18/Jul/2018:13:52:21 -0500] "GET /joappWeb/js/jquery.min.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [18/Jul/2018:13:52:23 -0500] "POST /joappWeb/login.xhtml HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [18/Jul/2018:13:52:23 -0500] "GET /joappWeb/index.xhtml HTTP/1.1" 200 62703
