127.0.0.1 - - [06/Sep/2018:11:24:12 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:24:13 -0500] "GET /PrototypeGob/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:24:14 -0500] "GET /PrototypeGob/login.xhtml HTTP/1.1" 200 5928
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:24:14 -0500] "GET /PrototypeGob/css/custom.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:24:14 -0500] "GET /PrototypeGob/js/jquery.min.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:24:14 -0500] "GET /PrototypeGob/css/custom.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:24:14 -0500] "GET /PrototypeGob/js/jquery.min.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:33:56 -0500] "POST /PrototypeGob/login.xhtml HTTP/1.1" 200 114
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:33:57 -0500] "GET /PrototypeGob/home/PrincipalHome.xhtml HTTP/1.1" 200 7539
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:33:57 -0500] "GET /PrototypeGob/css/custom.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:33:57 -0500] "GET /PrototypeGob/js/jquery.min.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:33:57 -0500] "GET /PrototypeGob/css/custom.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:33:57 -0500] "GET /PrototypeGob/js/jquery.min.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:33:59 -0500] "GET /PrototypeGob/admin/adminUser.xhtml HTTP/1.1" 200 107808
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:33:59 -0500] "GET /PrototypeGob/admin/images/SCT_24.png HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:34:02 -0500] "GET /PrototypeGob/javax.faces.resource/images/ui-icons-light.png.xhtml?ln=primefaces-afterwork HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:34:04 -0500] "POST /PrototypeGob/admin/adminUser.xhtml HTTP/1.1" 200 86703
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:34:08 -0500] "POST /PrototypeGob/admin/adminUser.xhtml HTTP/1.1" 200 7414
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:34:10 -0500] "POST /PrototypeGob/admin/adminUser.xhtml HTTP/1.1" 200 7414
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:34:21 -0500] "POST /PrototypeGob/admin/adminUser.xhtml HTTP/1.1" 200 86711
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:34:50 -0500] "POST /PrototypeGob/admin/adminUser.xhtml HTTP/1.1" 200 86671
