127.0.0.1 - - [12/Apr/2018:23:51:21 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [12/Apr/2018:23:51:28 -0500] "GET /joappWeb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2018:23:51:30 -0500] "GET /joappWeb/login.xhtml HTTP/1.1" 200 8277
0:0:0:0:0:0:0:1 - - [12/Apr/2018:23:51:30 -0500] "GET /joappWeb/js/jquery.min.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [12/Apr/2018:23:51:30 -0500] "GET /joappWeb/css/custom.css HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [12/Apr/2018:23:51:30 -0500] "GET /joappWeb/css/loginCss.css HTTP/1.1" 200 1947
0:0:0:0:0:0:0:1 - - [12/Apr/2018:23:51:31 -0500] "GET /joappWeb/css/custom.css HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [12/Apr/2018:23:51:31 -0500] "GET /joappWeb/js/jquery.min.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [12/Apr/2018:23:52:54 -0500] "GET /joappWeb/login.xhtml HTTP/1.1" 200 8277
0:0:0:0:0:0:0:1 - - [12/Apr/2018:23:52:54 -0500] "GET /joappWeb/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 24984
0:0:0:0:0:0:0:1 - - [12/Apr/2018:23:52:54 -0500] "GET /joappWeb/css/loginCss.css HTTP/1.1" 200 1947
0:0:0:0:0:0:0:1 - - [12/Apr/2018:23:52:54 -0500] "GET /joappWeb/css/custom.css HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [12/Apr/2018:23:52:54 -0500] "GET /joappWeb/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 86931
