127.0.0.1 - - [09/Apr/2018:08:40:14 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [09/Apr/2018:08:40:15 -0500] "GET /joappWeb/nvoUsrPlus.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:08:40:15 -0500] "GET /joappWeb/login.xhtml HTTP/1.1" 200 15447
0:0:0:0:0:0:0:1 - - [09/Apr/2018:08:40:15 -0500] "GET /joappWeb/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:08:40:15 -0500] "GET /joappWeb/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:08:40:15 -0500] "GET /joappWeb/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:08:40:15 -0500] "GET /joappWeb/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:08:40:15 -0500] "GET /joappWeb/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:08:40:15 -0500] "GET /joappWeb/bower_components/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:08:40:15 -0500] "GET /joappWeb/bower_components/jquery-slimscroll/js/jquery.slimscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:08:40:15 -0500] "GET /joappWeb/bower_components/modernizr/js/modernizr.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:08:40:15 -0500] "GET /joappWeb/assets/icon/themify-icons/themify-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:08:40:15 -0500] "GET /joappWeb/assets/icon/icofont/css/icofont.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:08:40:16 -0500] "GET /joappWeb/css/loginCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:08:40:16 -0500] "GET /joappWeb/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:08:40:16 -0500] "GET /joappWeb/js/fontawesome/fontawesome-all.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:08:40:16 -0500] "GET /joappWeb/bower_components/popper.js/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:08:40:16 -0500] "GET /joappWeb/bower_components/i18next-xhr-backend/js/i18nextXHRBackend.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:08:40:16 -0500] "GET /joappWeb/bower_components/i18next-browser-languagedetector/js/i18nextBrowserLanguageDetector.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:08:40:16 -0500] "GET /joappWeb/bower_components/jquery-i18next/js/jquery-i18next.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:08:40:16 -0500] "GET /joappWeb/bower_components/modernizr/js/css-scrollbars.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:08:40:16 -0500] "GET /joappWeb/assets/js/common-pages.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:08:40:16 -0500] "GET /joappWeb/bower_components/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2018:08:40:16 -0500] "GET /joappWeb/assets/icon/icofont/fonts/icofont.ttf?v=1.0.0-beta HTTP/1.1" 404 1053
