127.0.0.1 - - [27/Mar/2018:11:11:28 -0600] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [27/Mar/2018:11:11:29 -0600] "GET /joappWeb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Mar/2018:11:11:30 -0600] "GET /joappWeb/login.xhtml HTTP/1.1" 200 6571
0:0:0:0:0:0:0:1 - - [27/Mar/2018:11:11:30 -0600] "GET /joappWeb/css/custom.css HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [27/Mar/2018:11:11:30 -0600] "GET /joappWeb/js/jquery.min.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [27/Mar/2018:11:11:30 -0600] "GET /joappWeb/css/custom.css HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [27/Mar/2018:11:11:30 -0600] "GET /joappWeb/js/jquery.min.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [27/Mar/2018:11:11:32 -0600] "POST /joappWeb/login.xhtml HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [27/Mar/2018:11:11:32 -0600] "GET /joappWeb/index.xhtml HTTP/1.1" 200 14339
0:0:0:0:0:0:0:1 - - [27/Mar/2018:11:11:32 -0600] "GET /joappWeb/assets/icon/themify-icons/themify-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2018:11:11:32 -0600] "GET /joappWeb/assets/pages/dashboard/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2018:11:11:32 -0600] "GET /joappWeb/assets/pages/menu-search/css/component.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2018:11:11:32 -0600] "GET /joappWeb/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2018:11:11:32 -0600] "GET /joappWeb/assets/pages/flag-icon/flag-icon.min.css HTTP/1.1" 304 -
