127.0.0.1 - - [26/Sep/2018:13:40:22 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [26/Sep/2018:13:40:24 -0500] "GET /joappWeb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2018:13:40:25 -0500] "GET /joappWeb/login.xhtml HTTP/1.1" 200 7364
0:0:0:0:0:0:0:1 - - [26/Sep/2018:13:40:25 -0500] "GET /joappWeb/js/jquery.min.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [26/Sep/2018:13:40:25 -0500] "GET /joappWeb/bower_components/bootstrap/css/bootstrap.css HTTP/1.1" 200 156884
0:0:0:0:0:0:0:1 - - [26/Sep/2018:13:40:25 -0500] "GET /joappWeb/css/bootstrap.css HTTP/1.1" 200 178152
0:0:0:0:0:0:0:1 - - [26/Sep/2018:13:40:25 -0500] "GET /joappWeb/css/login.css HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [26/Sep/2018:13:40:25 -0500] "GET /joappWeb/images/ajax-loader-login.gif HTTP/1.1" 200 3208
0:0:0:0:0:0:0:1 - - [26/Sep/2018:13:40:25 -0500] "GET /joappWeb/js/jquery.min.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [26/Sep/2018:16:52:29 -0500] "POST /joappWeb/login.xhtml HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [26/Sep/2018:16:52:31 -0500] "GET /joappWeb/index.xhtml HTTP/1.1" 200 77596
0:0:0:0:0:0:0:1 - - [26/Sep/2018:16:52:31 -0500] "GET /joappWeb/assets/images/widget/java_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2018:16:52:31 -0500] "GET /joappWeb/assets/images/widget/mysql_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2018:16:52:32 -0500] "GET /joappWeb/assets/images/widget/jdbc_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2018:16:52:32 -0500] "GET /joappWeb/assets/images/widget/swing_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2018:16:52:48 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [26/Sep/2018:16:52:48 -0500] "GET /joappWeb/home/contenidoCurso.xhtml HTTP/1.1" 200 47483
0:0:0:0:0:0:0:1 - - [26/Sep/2018:17:53:13 -0500] "GET /joappWeb/home/contenidoCurso.xhtml HTTP/1.1" 500 4111
0:0:0:0:0:0:0:1 - - [26/Sep/2018:17:53:13 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [26/Sep/2018:17:53:41 -0500] "GET /joappWeb/home/contenidoCurso.xhtml HTTP/1.1" 200 74594
