10.1.18.136 - - [27/Aug/2018:10:53:38 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:38:37 -0500] "GET /PrototypeGob/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:38:37 -0500] "GET /PrototypeGob/login.xhtml HTTP/1.1" 200 5927
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:38:37 -0500] "GET /PrototypeGob/css/general.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:38:37 -0500] "GET /PrototypeGob/css/custom.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:38:37 -0500] "GET /PrototypeGob/js/jquery.min.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:38:38 -0500] "GET /PrototypeGob/css/custom.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:38:38 -0500] "GET /PrototypeGob/js/jquery.min.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:46:27 -0500] "POST /PrototypeGob/login.xhtml HTTP/1.1" 200 114
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:46:27 -0500] "GET /PrototypeGob/home/PrincipalHome.xhtml HTTP/1.1" 200 7541
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:46:27 -0500] "GET /PrototypeGob/css/custom.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:46:27 -0500] "GET /PrototypeGob/js/jquery.min.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:46:28 -0500] "GET /PrototypeGob/css/custom.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:46:28 -0500] "GET /PrototypeGob/js/jquery.min.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:46:43 -0500] "GET /PrototypeGob/admin/adminUser.xhtml HTTP/1.1" 200 70076
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:48:34 -0500] "POST /PrototypeGob/admin/adminUser.xhtml HTTP/1.1" 200 729
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:48:48 -0500] "POST /PrototypeGob/admin/adminUser.xhtml HTTP/1.1" 200 729
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:52:07 -0500] "POST /PrototypeGob/admin/adminUser.xhtml HTTP/1.1" 200 729
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:54:01 -0500] "GET /PrototypeGob/admin/adminUser.xhtml HTTP/1.1" 500 5568
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:54:01 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:54:41 -0500] "GET /PrototypeGob/admin/adminUser.xhtml HTTP/1.1" 500 5612
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:54:41 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:54:42 -0500] "GET /PrototypeGob/admin/adminUser.xhtml HTTP/1.1" 500 5612
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:54:42 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:54:50 -0500] "GET /PrototypeGob/admin/adminUser.xhtml HTTP/1.1" 500 5572
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:54:50 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:54:51 -0500] "GET /PrototypeGob/admin/adminUser.xhtml HTTP/1.1" 500 5572
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:54:51 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:54:51 -0500] "GET /PrototypeGob/admin/adminUser.xhtml HTTP/1.1" 500 5572
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:54:52 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:54:52 -0500] "GET /PrototypeGob/admin/adminUser.xhtml HTTP/1.1" 500 5572
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:54:52 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:54:52 -0500] "GET /PrototypeGob/admin/adminUser.xhtml HTTP/1.1" 500 5572
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:54:52 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:54:52 -0500] "GET /PrototypeGob/admin/adminUser.xhtml HTTP/1.1" 500 5572
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:54:53 -0500] "GET /PrototypeGob/admin/adminUser.xhtml HTTP/1.1" 500 5572
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:54:53 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:55:43 -0500] "GET /PrototypeGob/admin/adminUser.xhtml HTTP/1.1" 500 5584
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:55:44 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:55:44 -0500] "GET /PrototypeGob/admin/adminUser.xhtml HTTP/1.1" 500 5584
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:55:45 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:55:46 -0500] "GET /PrototypeGob/admin/adminUser.xhtml HTTP/1.1" 500 5584
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:55:46 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:55:50 -0500] "GET /PrototypeGob/home/PrincipalHome.xhtml HTTP/1.1" 200 7541
0:0:0:0:0:0:0:1 - - [27/Aug/2018:13:55:50 -0500] "GET /PrototypeGob/javax.faces.resource/theme.css.xhtml?ln=primefaces-afterwork HTTP/1.1" 200 19164
