127.0.0.1 - - [20/Apr/2018:21:27:32 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:27:36 -0500] "GET /joappWeb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:27:38 -0500] "GET /joappWeb/login.xhtml HTTP/1.1" 200 8267
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:27:39 -0500] "GET /joappWeb/css/custom.css HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:27:39 -0500] "GET /joappWeb/css/loginCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:27:39 -0500] "GET /joappWeb/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:27:39 -0500] "GET /joappWeb/css/general.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:27:39 -0500] "GET /joappWeb/js/jquery.min.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:27:40 -0500] "GET /joappWeb/css/custom.css HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:27:41 -0500] "GET /joappWeb/js/jquery.min.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:27:54 -0500] "POST /joappWeb/login.xhtml HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:27:54 -0500] "GET /joappWeb/index.xhtml HTTP/1.1" 200 16297
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:27:55 -0500] "GET /joappWeb/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:27:55 -0500] "GET /joappWeb/assets/icon/icofont/css/icofont.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:27:55 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:27:55 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:27:55 -0500] "GET /joappWeb/assets/icon/themify-icons/themify-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:27:55 -0500] "GET /joappWeb/bower_components/i18next/js/i18next.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:27:55 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:27:55 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:27:55 -0500] "GET /joappWeb/assets/images/avatar-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:27:56 -0500] "GET /joappWeb/assets/icon/themify-icons/fonts/themify.woff?-fvbane HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:27:56 -0500] "GET /joappWeb/assets/images/pattern4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:28:29 -0500] "GET /joappWebadministracion/miPerfilPlus.xhtml%7D HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:28:30 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:28:58 -0500] "GET /joappWeb/index.xhtml HTTP/1.1" 200 16344
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:28:59 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:28:59 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:28:59 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:28:59 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:00 -0500] "GET /joappWeb/index.xhtml HTTP/1.1" 200 16296
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:00 -0500] "GET /joappWeb/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 86931
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:00 -0500] "GET /joappWeb/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 24984
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:00 -0500] "GET /joappWeb/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 261371
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:00 -0500] "GET /joappWeb/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 31279
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:00 -0500] "GET /joappWeb/assets/icon/themify-icons/themify-icons.css HTTP/1.1" 200 16435
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:00 -0500] "GET /joappWeb/assets/icon/icofont/css/icofont.css HTTP/1.1" 200 108688
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:00 -0500] "GET /joappWeb/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 409040
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:00 -0500] "GET /joappWeb/assets/pages/flag-icon/flag-icon.min.css HTTP/1.1" 200 38265
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:00 -0500] "GET /joappWeb/assets/pages/menu-search/css/component.css HTTP/1.1" 200 7363
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:00 -0500] "GET /joappWeb/assets/pages/dashboard/css/style.css HTTP/1.1" 200 10127
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:00 -0500] "GET /joappWeb/bower_components/css/chartist.css HTTP/1.1" 200 14435
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:00 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:00 -0500] "GET /joappWeb/assets/css/jquery.mCustomScrollbar.css HTTP/1.1" 200 54021
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:00 -0500] "GET /joappWeb/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 85416
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:00 -0500] "GET /joappWeb/bower_components/css/c3.css HTTP/1.1" 200 2995
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:00 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:00 -0500] "GET /joappWeb/bower_components/css/bootstrap.min.css HTTP/1.1" 200 124962
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:00 -0500] "GET /joappWeb/bower_components/jquery-slimscroll/js/jquery.slimscroll.js HTTP/1.1" 200 13832
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:00 -0500] "GET /joappWeb/bower_components/jquery/js/jquery.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:00 -0500] "GET /joappWeb/bower_components/modernizr/js/css-scrollbars.js HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:00 -0500] "GET /joappWeb/assets/pages/todo/todo.js HTTP/1.1" 200 4858
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:00 -0500] "GET /joappWeb/assets/pages/dashboard/horizontal-timeline/js/main.js HTTP/1.1" 200 12120
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:00 -0500] "GET /joappWeb/bower_components/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51143
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:00 -0500] "GET /joappWeb/bower_components/modernizr/js/modernizr.js HTTP/1.1" 200 51351
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:00 -0500] "GET /joappWeb/bower_components/popper.js/js/popper.min.js HTTP/1.1" 200 19208
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:00 -0500] "GET /joappWeb/assets/pages/widget/amchart/amcharts.js HTTP/1.1" 200 209436
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:00 -0500] "GET /joappWeb/bower_components/jquery-ui/js/jquery-ui.min.js HTTP/1.1" 200 253669
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:00 -0500] "GET /joappWeb/assets/css/style.css HTTP/1.1" 200 636697
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:00 -0500] "GET /joappWeb/assets/pages/widget/amchart/serial.js HTTP/1.1" 200 49474
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:00 -0500] "GET /joappWeb/assets/pages/widget/amchart/gauge.js HTTP/1.1" 200 12853
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:00 -0500] "GET /joappWeb/assets/pages/chart/chartlist/js/chartist-plugin-tooltip.min.js HTTP/1.1" 200 6963
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:00 -0500] "GET /joappWeb/assets/pages/chart/chartlist/js/chartist-plugin-threshold.js HTTP/1.1" 200 4329
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:00 -0500] "GET /joappWeb/assets/pages/widget/amchart/pie.js HTTP/1.1" 200 14670
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:00 -0500] "GET /joappWeb/assets/pages/widget/amchart/light.js HTTP/1.1" 200 2916
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:00 -0500] "GET /joappWeb/bower_components/i18next/js/i18next.min.js HTTP/1.1" 200 35879
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:01 -0500] "GET /joappWeb/bower_components/peity/js/jquery.peity.js HTTP/1.1" 200 8891
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:01 -0500] "GET /joappWeb/bower_components/chartist/js/chartist.js HTTP/1.1" 200 178221
0:0:0:0:0:0:0:1 - - [20/Apr/2018:21:29:01 -0500] "GET /joappWeb/bower_components/c3/js/c3.js HTTP/1.1" 200 354236
