127.0.0.1 - - [22/Apr/2019:16:28:48 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:28:50 -0500] "GET /joappWeb/login.xhtml HTTP/1.1" 200 7863
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:28:50 -0500] "GET /joappWeb/javax.faces.resource/theme.css.xhtml?ln=primefaces-ecuador-indigo HTTP/1.1" 200 177605
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:28:50 -0500] "GET /joappWeb/css/bootstrap.css HTTP/1.1" 200 178152
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:28:50 -0500] "GET /joappWeb/bower_components/bootstrap/css/bootstrap.css HTTP/1.1" 200 156884
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:28:50 -0500] "GET /joappWeb/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=D23DB6E65B9C0F4390CEC9223722B2AC?ln=primefaces&v=6.2 HTTP/1.1" 200 86931
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:28:50 -0500] "GET /joappWeb/bower_components/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 124962
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:28:50 -0500] "GET /joappWeb/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 31333
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:28:50 -0500] "GET /joappWeb/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=D23DB6E65B9C0F4390CEC9223722B2AC?ln=primefaces&v=6.2 HTTP/1.1" 200 261371
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:28:50 -0500] "GET /joappWeb/css/login.css HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:28:50 -0500] "GET /joappWeb/assets/css/style.css HTTP/1.1" 200 636697
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:28:50 -0500] "GET /joappWeb/javax.faces.resource/core.js.xhtml;jsessionid=D23DB6E65B9C0F4390CEC9223722B2AC?ln=primefaces&v=6.2 HTTP/1.1" 200 31279
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:28:50 -0500] "GET /joappWeb/javax.faces.resource/components.css.xhtml;jsessionid=D23DB6E65B9C0F4390CEC9223722B2AC?ln=primefaces&v=6.2 HTTP/1.1" 200 85416
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:28:50 -0500] "GET /joappWeb/assets/icon/icofont/css/icofont.css HTTP/1.1" 200 108688
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:28:50 -0500] "GET /joappWeb/assets/icon/themify-icons/themify-icons.css HTTP/1.1" 200 16435
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:28:50 -0500] "GET /joappWeb/js/jquery.min.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:28:50 -0500] "GET /joappWeb/javax.faces.resource/components.js.xhtml;jsessionid=D23DB6E65B9C0F4390CEC9223722B2AC?ln=primefaces&v=6.2 HTTP/1.1" 200 409040
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:28:50 -0500] "GET /joappWeb/js/fontawesome/fontawesome-all.js HTTP/1.1" 200 720055
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:28:51 -0500] "GET /joappWeb/js/jquery.min.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:28:51 -0500] "GET /joappWeb/images/headset_icono.png HTTP/1.1" 200 4770
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:29:02 -0500] "POST /joappWeb/login.xhtml;jsessionid=D23DB6E65B9C0F4390CEC9223722B2AC HTTP/1.1" 200 1500
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:29:02 -0500] "GET /joappWeb/javax.faces.resource/fa/fontawesome-webfont.woff2.xhtml?ln=primefaces&v=6.2?v=4.7.0 HTTP/1.1" 200 77244
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:29:06 -0500] "POST /joappWeb/login.xhtml;jsessionid=D23DB6E65B9C0F4390CEC9223722B2AC HTTP/1.1" 200 1500
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:29:18 -0500] "POST /joappWeb/login.xhtml;jsessionid=D23DB6E65B9C0F4390CEC9223722B2AC HTTP/1.1" 200 1500
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:29:25 -0500] "POST /joappWeb/login.xhtml;jsessionid=D23DB6E65B9C0F4390CEC9223722B2AC HTTP/1.1" 200 1500
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:30:40 -0500] "POST /joappWeb/login.xhtml;jsessionid=D23DB6E65B9C0F4390CEC9223722B2AC HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:30:41 -0500] "GET /joappWeb/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 86931
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:30:41 -0500] "GET /joappWeb/bower_components/css/tableBootStrap.css HTTP/1.1" 200 5099
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:30:41 -0500] "GET /joappWeb/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 261371
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:30:41 -0500] "GET /joappWeb/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 31279
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:30:41 -0500] "GET /joappWeb/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 409040
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:30:41 -0500] "GET /joappWeb/javax.faces.resource/css/nanoscroller.css.xhtml?ln=ecuador-layout HTTP/1.1" 200 1460
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:30:41 -0500] "GET /joappWeb/javax.faces.resource/js/nanoscroller.js.xhtml?ln=ecuador-layout HTTP/1.1" 200 28871
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:30:41 -0500] "GET /joappWeb/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 85416
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:30:41 -0500] "GET /joappWeb/javax.faces.resource/js/layout.js.xhtml?ln=ecuador-layout HTTP/1.1" 200 16760
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:30:41 -0500] "GET /joappWeb/javax.faces.resource/images/ecuador-logo.png.xhtml?ln=ecuador-layout HTTP/1.1" 200 2911
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:30:41 -0500] "GET /joappWeb/javax.faces.resource/images/avatar.png.xhtml?ln=ecuador-layout HTTP/1.1" 200 6180
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:30:41 -0500] "GET /joappWeb/index.xhtml HTTP/1.1" 200 78076
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:30:41 -0500] "GET /joappWeb/javax.faces.resource/jsf.js.xhtml?ln=javax.faces HTTP/1.1" 200 41707
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:30:42 -0500] "GET /joappWeb/javax.faces.resource/images/icon-users.png.xhtml?ln=ecuador-layout HTTP/1.1" 200 879
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:30:42 -0500] "GET /joappWeb/assets/images/widget/java_1.jpg HTTP/1.1" 200 76463
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:30:42 -0500] "GET /joappWeb/assets/images/widget/swing_1.jpg HTTP/1.1" 200 43188
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:30:42 -0500] "GET /joappWeb/assets/images/widget/mysql_1.jpg HTTP/1.1" 200 68030
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:30:42 -0500] "GET /joappWeb/assets/images/widget/jdbc_1.jpg HTTP/1.1" 200 106517
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:30:42 -0500] "GET /joappWeb/javax.faces.resource/css/layout-indigo.css.xhtml?ln=ecuador-layout HTTP/1.1" 200 80704
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:30:42 -0500] "GET /joappWeb/javax.faces.resource/fonts/montserrat-v12-latin-ext_latin-regular.woff2.xhtml?ln=ecuador-layout HTTP/1.1" 200 28276
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:30:42 -0500] "GET /joappWeb/javax.faces.resource/fonts/montserrat-v12-latin-ext_latin-700.woff2.xhtml?ln=ecuador-layout HTTP/1.1" 200 28176
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:30:42 -0500] "GET /joappWeb/assets/icon/icofont/fonts/icofont.ttf?v=1.0.0-beta HTTP/1.1" 200 1018620
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:31:28 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 4326
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:31:28 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 16075
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:31:33 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 7303
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:31:40 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 7303
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:31:41 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:31:43 -0500] "GET /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 75809
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:31:43 -0500] "GET /joappWeb/home/images/headset_icono.png HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:31:43 -0500] "GET /joappWeb/home/assets/images/favicon.ico HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:32:07 -0500] "POST /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 5038
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:32:08 -0500] "POST /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 16216
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:32:12 -0500] "POST /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 8052
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:32:14 -0500] "POST /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:32:15 -0500] "GET /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 76825
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:32:33 -0500] "POST /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 492688
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:33:47 -0500] "POST /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 343378
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:34:38 -0500] "POST /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 7869
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:34:42 -0500] "POST /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 5038
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:34:42 -0500] "POST /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 16217
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:34:48 -0500] "POST /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 8010
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:34:51 -0500] "POST /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 7997
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:35:03 -0500] "POST /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 8052
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:35:14 -0500] "POST /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:35:15 -0500] "GET /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 71922
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:35:23 -0500] "GET /joappWeb/index.xhtml HTTP/1.1" 200 78076
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:36:02 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 4326
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:36:02 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 16100
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:36:04 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 7396
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:36:10 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:36:11 -0500] "GET /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 73872
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:37:44 -0500] "POST /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 7827
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:37:55 -0500] "POST /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 7827
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:38:49 -0500] "POST /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 7827
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:38:57 -0500] "POST /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 5038
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:38:57 -0500] "POST /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 16217
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:39:01 -0500] "POST /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 9894
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:39:26 -0500] "POST /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 8010
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:42:33 -0500] "POST /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 5038
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:42:33 -0500] "POST /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 16217
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:42:46 -0500] "POST /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 8010
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:42:53 -0500] "POST /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 7941
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:42:55 -0500] "POST /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:42:55 -0500] "GET /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 75811
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:43:06 -0500] "POST /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 7758
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:44:05 -0500] "GET /joappWeb/index.xhtml HTTP/1.1" 200 78076
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:50:18 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 4326
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:50:18 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 16076
