0:0:0:0:0:0:0:1 - - [28/May/2018:13:27:06 -0500] "GET /joappWeb/javax.faces.resource/images/ui-bg_flat_0_2d5972_40x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:09 -0500] "GET /joappWeb/miPerfilPlus.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:09 -0500] "GET /joappWeb/login.xhtml HTTP/1.1" 200 8267
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:09 -0500] "GET /joappWeb/css/custom.css HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:09 -0500] "GET /joappWeb/js/jquery.min.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:09 -0500] "GET /joappWeb/css/custom.css HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:09 -0500] "GET /joappWeb/js/jquery.min.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:11 -0500] "POST /joappWeb/login.xhtml HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:11 -0500] "GET /joappWeb/index.xhtml HTTP/1.1" 200 17108
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:11 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:11 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:11 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:11 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:14 -0500] "GET /joappWeb/miPerfilPlus.xhtml HTTP/1.1" 200 17023
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:14 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:14 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:14 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:14 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:21 -0500] "GET /joappWeb/miPerfilPlus.xhtml HTTP/1.1" 200 17023
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:21 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:21 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:21 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:21 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:50 -0500] "GET /joappWeb/miPerfilPlus.xhtml HTTP/1.1" 200 17036
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:50 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:50 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:51 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:51 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:52 -0500] "GET /joappWeb/miPerfilPlus.xhtml HTTP/1.1" 200 17036
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:52 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:52 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:53 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:53 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:54 -0500] "GET /joappWeb/miPerfilPlus.xhtml HTTP/1.1" 200 17036
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:54 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:54 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:54 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:54 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:59 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:59 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:59 -0500] "GET /joappWeb/bower_components/popper.js/js/popper.min.js.map HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:59 -0500] "GET /joappWeb/bower_components/css/bootstrap.min.css.map HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:59 -0500] "GET /joappWeb/assets/css/style.css.map HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [28/May/2018:14:05:59 -0500] "GET /joappWeb/bower_components/css/chartist.css.map HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [28/May/2018:14:07:24 -0500] "GET /joappWeb/miPerfilPlus.xhtml HTTP/1.1" 200 17062
0:0:0:0:0:0:0:1 - - [28/May/2018:14:07:24 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:07:24 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:07:25 -0500] "GET /joappWeb/miPerfilPlus.xhtml HTTP/1.1" 200 17062
0:0:0:0:0:0:0:1 - - [28/May/2018:14:07:26 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:07:26 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:07:26 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:07:26 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:07:27 -0500] "GET /joappWeb/miPerfilPlus.xhtml HTTP/1.1" 200 17062
0:0:0:0:0:0:0:1 - - [28/May/2018:14:07:27 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:07:27 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:07:27 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:07:27 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:07:28 -0500] "GET /joappWeb/miPerfilPlus.xhtml HTTP/1.1" 200 17062
0:0:0:0:0:0:0:1 - - [28/May/2018:14:07:28 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:07:28 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:07:28 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:07:28 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:07:29 -0500] "GET /joappWeb/miPerfilPlus.xhtml HTTP/1.1" 200 17062
0:0:0:0:0:0:0:1 - - [28/May/2018:14:07:29 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:07:29 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:07:30 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:07:30 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:07:31 -0500] "GET /joappWeb/miPerfilPlus.xhtml HTTP/1.1" 200 17062
0:0:0:0:0:0:0:1 - - [28/May/2018:14:07:31 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:07:31 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:07:31 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:07:31 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:07:33 -0500] "GET /joappWeb/miPerfilPlus.xhtml HTTP/1.1" 200 17062
0:0:0:0:0:0:0:1 - - [28/May/2018:14:07:33 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:07:33 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:07:33 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:07:33 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:07:34 -0500] "GET /joappWeb/miPerfilPlus.xhtml HTTP/1.1" 200 17062
0:0:0:0:0:0:0:1 - - [28/May/2018:14:07:35 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:07:35 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:07:35 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:07:35 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:10:22 -0500] "GET /joappWeb/miPerfilPlus.xhtml HTTP/1.1" 200 17062
0:0:0:0:0:0:0:1 - - [28/May/2018:14:10:22 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:10:22 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:10:22 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:10:22 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:10:24 -0500] "GET /joappWeb/miPerfilPlus.xhtml HTTP/1.1" 200 17062
0:0:0:0:0:0:0:1 - - [28/May/2018:14:10:24 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:10:24 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [28/May/2018:14:10:24 -0500] "GET /css/general.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [28/May/2018:14:10:24 -0500] "GET /css/bootstrap.css HTTP/1.1" 404 995
