127.0.0.1 - - [20/Mar/2018:00:03:13 -0600] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [20/Mar/2018:00:03:14 -0600] "GET /joappWeb/ HTTP/1.1" 200 6547
0:0:0:0:0:0:0:1 - - [20/Mar/2018:00:03:14 -0600] "GET /joappWeb/css/custom.css HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [20/Mar/2018:00:03:14 -0600] "GET /joappWeb/js/jquery.min.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [20/Mar/2018:00:03:14 -0600] "GET /joappWeb/css/custom.css HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [20/Mar/2018:00:03:14 -0600] "GET /joappWeb/js/jquery.min.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [20/Mar/2018:00:05:04 -0600] "POST /joappWeb/login.xhtml HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [20/Mar/2018:00:05:04 -0600] "GET /joappWeb/index.xhtml HTTP/1.1" 200 13760
0:0:0:0:0:0:0:1 - - [20/Mar/2018:00:05:04 -0600] "GET /joappWeb/bower_components/popper.js/js/popper.min.js HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [20/Mar/2018:00:05:04 -0600] "GET /joappWeb/bower_components/i18next/js/i18next.min.js HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [20/Mar/2018:00:05:04 -0600] "GET /joappWeb/bower_components/popper.js/js/popper.min.js HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [20/Mar/2018:00:05:04 -0600] "GET /joappWeb/bower_components/i18next/js/i18next.min.js HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [20/Mar/2018:00:05:05 -0600] "GET /joappWeb/bower_components/popper.js/js/popper.min.js HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [20/Mar/2018:00:05:05 -0600] "GET /joappWeb/bower_components/i18next/js/i18next.min.js HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [20/Mar/2018:00:05:05 -0600] "GET /joappWeb/home/dashCursos.xhtml HTTP/1.1" 200 24150
0:0:0:0:0:0:0:1 - - [20/Mar/2018:00:05:05 -0600] "GET /joappWeb/bower_components/popper.js/js/popper.min.js HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [20/Mar/2018:00:05:05 -0600] "GET /joappWeb/bower_components/i18next/js/i18next.min.js HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [20/Mar/2018:00:05:07 -0600] "POST /joappWeb/home/dashCursos.xhtml HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [20/Mar/2018:00:05:08 -0600] "POST /joappWeb/home/dashCursos.xhtml HTTP/1.1" 200 23055
0:0:0:0:0:0:0:1 - - [20/Mar/2018:00:05:09 -0600] "POST /joappWeb/home/dashCursos.xhtml HTTP/1.1" 200 10802
0:0:0:0:0:0:0:1 - - [20/Mar/2018:00:05:10 -0600] "POST /joappWeb/home/dashCursos.xhtml HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [20/Mar/2018:00:05:10 -0600] "GET /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 13469
0:0:0:0:0:0:0:1 - - [20/Mar/2018:00:05:10 -0600] "GET /joappWeb/bower_components/i18next/js/i18next.min.js HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [20/Mar/2018:00:05:10 -0600] "GET /joappWeb/bower_components/popper.js/js/popper.min.js HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [20/Mar/2018:00:05:10 -0600] "GET /joappWeb/home/%3Ci%20class='fas%20fa-check%20fa-2x'%3E%3C/i%3E?pfdrid_c=true HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [20/Mar/2018:00:05:10 -0600] "GET /joappWeb/bower_components/popper.js/js/popper.min.js HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [20/Mar/2018:00:05:10 -0600] "GET /joappWeb/bower_components/i18next/js/i18next.min.js HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [20/Mar/2018:00:08:28 -0600] "GET /joappWeb/index.xhtml HTTP/1.1" 200 13760
0:0:0:0:0:0:0:1 - - [20/Mar/2018:00:08:28 -0600] "GET /joappWeb/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 24984
0:0:0:0:0:0:0:1 - - [20/Mar/2018:00:08:28 -0600] "GET /joappWeb/bower_components/css/bootstrap.min.css HTTP/1.1" 200 124962
