0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:21:56 -0500] "GET /ecuador-2.0.0/javax.faces.resource/css/nanoscroller.css.xhtml;jsessionid=747951B0E217E428D7C5922FAFDFD8D0?ln=ecuador-layout HTTP/1.1" 200 1460
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:21:56 -0500] "GET /ecuador-2.0.0/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=747951B0E217E428D7C5922FAFDFD8D0?ln=primefaces&v=6.2 HTTP/1.1" 200 86931
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:21:56 -0500] "GET /ecuador-2.0.0/javax.faces.resource/schedule/schedule.css.xhtml;jsessionid=747951B0E217E428D7C5922FAFDFD8D0?ln=primefaces&v=6.2 HTTP/1.1" 200 13987
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:21:56 -0500] "GET /ecuador-2.0.0/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=747951B0E217E428D7C5922FAFDFD8D0?ln=primefaces&v=6.2 HTTP/1.1" 200 261371
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:21:56 -0500] "GET /ecuador-2.0.0/javax.faces.resource/components.js.xhtml;jsessionid=747951B0E217E428D7C5922FAFDFD8D0?ln=primefaces&v=6.2 HTTP/1.1" 200 409040
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:21:56 -0500] "GET /ecuador-2.0.0/javax.faces.resource/moment/moment.js.xhtml;jsessionid=747951B0E217E428D7C5922FAFDFD8D0?ln=primefaces&v=6.2 HTTP/1.1" 200 57966
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:21:56 -0500] "GET /ecuador-2.0.0/javax.faces.resource/js/layout.js.xhtml;jsessionid=747951B0E217E428D7C5922FAFDFD8D0?ln=ecuador-layout HTTP/1.1" 200 16760
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:21:56 -0500] "GET /ecuador-2.0.0/javax.faces.resource/js/nanoscroller.js.xhtml;jsessionid=747951B0E217E428D7C5922FAFDFD8D0?ln=ecuador-layout HTTP/1.1" 200 28871
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:21:56 -0500] "GET /ecuador-2.0.0/javax.faces.resource/images/avatar.png.xhtml;jsessionid=747951B0E217E428D7C5922FAFDFD8D0?ln=ecuador-layout HTTP/1.1" 200 6180
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:21:56 -0500] "GET /ecuador-2.0.0/javax.faces.resource/images/ecuador-logo.png.xhtml;jsessionid=747951B0E217E428D7C5922FAFDFD8D0?ln=ecuador-layout HTTP/1.1" 200 2911
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:21:56 -0500] "GET /ecuador-2.0.0/javax.faces.resource/images/avatar-brooke.png.xhtml;jsessionid=747951B0E217E428D7C5922FAFDFD8D0?ln=ecuador-layout HTTP/1.1" 200 30000
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:21:56 -0500] "GET /ecuador-2.0.0/javax.faces.resource/images/avatar-tom.png.xhtml;jsessionid=747951B0E217E428D7C5922FAFDFD8D0?ln=ecuador-layout HTTP/1.1" 200 30697
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:21:56 -0500] "GET /ecuador-2.0.0/javax.faces.resource/schedule/schedule.js.xhtml;jsessionid=747951B0E217E428D7C5922FAFDFD8D0?ln=primefaces&v=6.2 HTTP/1.1" 200 137772
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:21:56 -0500] "GET /ecuador-2.0.0/javax.faces.resource/components.css.xhtml;jsessionid=747951B0E217E428D7C5922FAFDFD8D0?ln=primefaces&v=6.2 HTTP/1.1" 200 85471
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:21:56 -0500] "GET /ecuador-2.0.0/javax.faces.resource/images/avatar-maggie.png.xhtml;jsessionid=747951B0E217E428D7C5922FAFDFD8D0?ln=ecuador-layout HTTP/1.1" 200 27937
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:21:56 -0500] "GET /ecuador-2.0.0/javax.faces.resource/images/avatar-lucas.png.xhtml;jsessionid=747951B0E217E428D7C5922FAFDFD8D0?ln=ecuador-layout HTTP/1.1" 200 27823
