127.0.0.1 - - [05/Apr/2019:20:21:22 -0600] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/chartsBlue.svg.xhtml HTTP/1.1" 200 947
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/message.svg.xhtml HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/messageBlue.svg.xhtml HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/multimedia.svg.xhtml HTTP/1.1" 200 1802
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/multimediaBlue.svg.xhtml HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/file.svg.xhtml HTTP/1.1" 200 1162
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/fileBlue.svg.xhtml HTTP/1.1" 200 1146
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/dragdropBlue.svg.xhtml HTTP/1.1" 200 14939
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/dragdrop.svg.xhtml HTTP/1.1" 200 15371
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/clientSideValidation.svg.xhtml HTTP/1.1" 200 2324
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/clientSideValidationBlue.svg.xhtml HTTP/1.1" 200 2325
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/dialogFramework.svg.xhtml HTTP/1.1" 200 2531
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/dialogFrameworkBlue.svg.xhtml HTTP/1.1" 200 2550
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/misc.svg.xhtml HTTP/1.1" 200 1738
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/mono/miscBlue.svg.xhtml HTTP/1.1" 200 1735
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/pfMockosx.svg.xhtml HTTP/1.1" 200 1106
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/pfExtensions.svg.xhtml HTTP/1.1" 200 3417
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/pfMobile.svg.xhtml HTTP/1.1" 200 2197
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/themeswitcher.svg.xhtml HTTP/1.1" 200 1296
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/loader.gif.xhtml HTTP/1.1" 200 18057
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/warning.png.xhtml HTTP/1.1" 200 69346
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/pfPush.svg.xhtml HTTP/1.1" 200 1890
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/fa/fontawesome-webfont.woff2.xhtml?ln=primefaces&v=6.1?v=4.7.0 HTTP/1.1" 200 77244
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/resources/main/images/favicon.png HTTP/1.1" 200 3634
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:24 -0600] "GET /showcase-6.1/javax.faces.resource/main/images/logoCircuitLines.svg.xhtml HTTP/1.1" 200 2657
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:32 -0600] "GET /showcase-6.1/ui/button/button.xhtml HTTP/1.1" 200 43724
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:32 -0600] "GET /showcase-6.1/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 200 380560
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:32 -0600] "GET /showcase-6.1/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 200 78596
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:32 -0600] "GET /showcase-6.1/javax.faces.resource/images/ui-icons_ffffff_256x240.png.xhtml?ln=primefaces-omega HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:34 -0600] "GET /showcase-6.1/ui/button/commandButton.xhtml HTTP/1.1" 200 45925
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:36 -0600] "GET /showcase-6.1/ui/button/link.xhtml HTTP/1.1" 200 41224
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:44 -0600] "GET /showcase-6.1/ui/data/datatable/basic.xhtml HTTP/1.1" 200 50569
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:47 -0600] "GET /showcase-6.1/ui/data/datatable/edit.xhtml HTTP/1.1" 200 114074
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:21:47 -0600] "GET /showcase-6.1/javax.faces.resource/images/ui-icons_222222_256x240.png.xhtml?ln=primefaces-omega HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:25:40 -0600] "GET /showcase-6.1/ui/ajax/basic.xhtml HTTP/1.1" 200 43516
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:26:16 -0600] "GET /showcase-6.1/ui/ajax/basic.xhtml HTTP/1.1" 200 43518
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:26:18 -0600] "GET /showcase-6.1/ui/ajax/event.xhtml HTTP/1.1" 200 44045
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:26:19 -0600] "GET /showcase-6.1/ui/ajax/basic.xhtml HTTP/1.1" 200 43514
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:27:46 -0600] "GET /showcase-6.1/ui/overlay/confirmDialog.xhtml HTTP/1.1" 200 45982
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:27:55 -0600] "POST /showcase-6.1/ui/overlay/confirmDialog.xhtml HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:27:55 -0600] "GET /showcase-6.1/javax.faces.resource/messages/messages.png.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 200 27245
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:28:00 -0600] "GET /showcase-6.1/javax.faces.resource/images/ui-icons_454545_256x240.png.xhtml?ln=primefaces-omega HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [05/Apr/2019:20:28:01 -0600] "POST /showcase-6.1/ui/overlay/confirmDialog.xhtml HTTP/1.1" 200 731
